,brand,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,pixel,Loudspeaker,3.5mm jack,Chipset,RAM,Storage,Micro-SIM,Mini-SIM,Nano-SIM,eSIM,ratio_1,ratio_2
899,7,True,True,False,2016,149.0,141.7,68.9,8.5,1,5.0,441.0,70.6,0,3500.0,220.0,4.0,2073600.0,True,True,6,3.0,32.0,False,False,True,False,16.0,9.0
796,6,True,True,True,2022,204.0,166.3,76.5,8.9,1,6.58,401.0,82.0,0,5000.0,240.0,8.0,2600640.0,True,True,4,4.0,64.0,False,False,True,False,20.0,9.0
132,1,True,True,False,2014,331.0,200.0,134.7,7.5,1,7.9,324.0,71.7,2,6470.0,400.0,2.0,3145728.0,False,True,0,1.0,16.0,False,False,False,True,4.0,3.0
80,0,True,False,False,2012,136.0,116.0,61.8,12.5,7,3.5,165.0,50.9,0,1300.0,110.0,5.847807757166947,153600.0,True,True,4,0.25,0.5,False,True,False,False,3.0,2.0
1999,10,True,True,False,2020,426.0,213.8,126.8,9.9,2,8.0,283.0,68.5,0,5050.0,600.0,8.0,2304000.0,False,True,1,4.0,64.0,False,False,True,False,16.0,10.0
758,5,True,False,False,2013,170.0,140.0,71.0,9.4,1,5.0,441.0,69.3,0,3000.0,310.0,4.0,2073600.0,True,True,3,2.0,32.0,True,False,False,False,16.0,9.0
541,5,True,True,False,2022,184.0,162.4,75.5,7.4,3,6.67,395.0,87.6,1,4500.0,229.99,8.0,2592000.0,True,False,6,6.0,128.0,False,False,True,False,20.0,9.0
1019,8,True,True,False,2019,152.0,148.6,71.9,8.3,1,5.45,197.0,71.7,0,3000.0,100.0,4.0,460800.0,True,True,4,1.0,16.0,False,False,True,False,18.0,9.0
1674,12,True,True,True,2022,202.0,163.1,75.9,8.6,0,6.67,446.0,86.7,0,5000.0,386.6,8.0,3308640.0,False,False,4,8.0,128.0,False,False,True,False,20.0,9.0
983,7,True,False,False,2013,165.4,147.0,73.0,9.4,1,5.0,220.0,64.2,0,2250.0,140.0,4.0,518400.0,True,True,4,1.0,4.0,False,True,False,False,16.0,9.0
