year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2022,nova Y61,Huawei,8,EMUI,12,"[('64', '4'), ('64', '6'), ('128', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",164.3 x 75.8 x 8.9,188,Nano-SIM,6.52,82.4,720 x 1600,269,140,5000
2022,MatePad C5e,Huawei,8,Android,10,"[('64', '4')]",111,['Accelerometer'],240.2 x 159 x 7.9,450,,10.1,77.4,1200 x 1920,224,,5100
2022,nova 10 SE,Huawei,8,EMUI,12,"[('128', '6'), ('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass', 'proximity']",162.4 x 75.5 x 7.4,184,Nano-SIM,6.67,87.6,1080 x 2400,395,442.52,4500
2022,Mate 50 RS Porsche Design,Huawei,8,HarmonyOS,3.0,"[('512', '12')]",111,"['Face ID', 'fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",162.1 x 75.5 x 9.9,232,Nano-SIM,6.74,91.3,1212 x 2616,428,1880,4700
2022,Mate 50 Pro,Huawei,8,EMUI,13,"[('256', '8'), ('512', '8')]",111,"['Face ID', 'fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",162.1 x 75.5 x 8.5,205,Nano-SIM,6.74,91.3,1212 x 2616,428,1279.77,4700
2022,Mate 50E,Huawei,8,HarmonyOS,3.0,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",161.5 x 76.1 x 8,201,Nano-SIM,6.7,88.6,1224 x 2700,442,580,4460
2022,Mate 50,Huawei,8,EMUI,13,"[('128', '8'), ('256', '8'), ('512', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",161.5 x 76.1 x 8,202,Nano-SIM,6.7,88.6,1224 x 2700,442,720,4460
2022,nova 10z,Huawei,,HarmonyOS,2.0,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'compass']",160.7 x 73.3 x 8.4,179,Nano-SIM,6.6,89.3,1080 x 2400,399,260,4000
2022,MatePad Pro 11 (2022),Huawei,8,HarmonyOS,3.0,"[('128', '8'), ('256', '8'), ('512', '12')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",249.2 x 160.4 x 5.9,449,Nano-SIM,11.0,87.8,2560 x 1600,274,500,8300
2022,nova 10 Pro,Huawei,8,HarmonyOS,2.0,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",164.2 x 74.5 x 7.9,191,Nano-SIM,6.78,91.1,1200 x 2652,429,730,4500
2022,nova 10,Huawei,8,HarmonyOS,2.0,"[('128', '6'), ('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",162.2 x 73.9 x 6.9,168,Nano-SIM,6.67,89.6,1080 x 2400,395,500,4000
2022,nova Y90,Huawei,8,EMUI,12,"[('128', '4'), ('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'compass']",163.3 x 74.7 x 8.4,195,Nano-SIM,6.7,89.1,1080 x 2388,391,,5000
2022,MatePad 10.4 (2022),Huawei,8,Android,10,"[('64', '4'), ('64', '6'), ('128', '4'), ('128', '6')]",111,"['Accelerometer', 'proximity', 'compass']",245.2 x 155 x 7.5,460,Nano-SIM,10.4,81.0,1200 x 2000,224,350,7250
2022,Mate Xs 2,Huawei,8,EMUI,12,"[('256', '8'), ('512', '8'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'color spectrum']",Unfolded: 156.5 x 139.3 x 5.4,255,Nano-SIM,7.8,89.8,2200 x 2480,424,2000,4600
2022,Watch GT 3 Porsche Design,Huawei,,HarmonyOS,2.0,"[('Unspecified', 'storage')]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2', 'thermometer']",46.6 x 46.6 x 10.9,54,,1.43,,466 x 466,326,670,530
2022,Watch GT 3 Pro,Huawei,,HarmonyOS,2.0,"[('32',)]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2', 'thermometer']",46.6 x 46.6 x 10.9,50,,1.43,,466 x 466,326,,530
2022,Watch D,Huawei,,HarmonyOS,2.1,"[('4',)]",111,"['Accelerometer', 'gyro', 'heart rate', 'SpO2', 'thermometer', 'differential pressure sensor']",51 x 38 x 13.6,40.9,,1.64,,456 x 280,326,350,
2022,MatePad SE,Huawei,8,HarmonyOS,2.0,"[('32', '3'), ('64', '4'), ('128', '4')]",111,"['Accelerometer', 'proximity']",240.2 x 159 x 7.9,450,Nano-SIM,10.1,77.4,1200 x 1920,224,190,5100
2022,nova 9 SE 5G,Huawei,8,Android,11,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",164.6 x 75.6 x 7.9,191,Nano-SIM,6.78,89.5,1080 x 2388,387,370,4000
