year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,size,screen_to_body_ratio,resolution,ppi_density,price,battery,sim
2014,G3 S,LG,4,Android,4.4.2,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",137.7 x 69.6 x 10.3,134,5.0,71.9,720 x 1280,294,190,2540,Micro-SIM
2014,L65 D280,LG,2,Android,4.4.2,"[('4', '1')]",011,"['Accelerometer', 'proximity']",127.2 x 66.8 x 9.5,127,4.3,61.9,480 x 800,217,190,2100,Mini-SIM
2014,G3 (CDMA),LG,4,Android,4.4.2,"[('32', '3')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",146.3 x 74.7 x 8.9,149.7,5.5,75.2,1440 x 2560,538,300,3000,Micro-SIM
2014,G3,LG,4,Android,4.4.2,"[('16', '2'), ('32', '3')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",146.3 x 74.6 x 8.9,149,5.5,75.3,1440 x 2560,538,300,3000,Micro-SIM
2014,450,LG,,,,"[('256', '128')]",011,[''],98 x 51.1 x 18.5,102.9,2.2,30.4,176 x 220,128,60,950,Mini-SIM
2014,L35,LG,2,Android,OS,"[('4', '512')]",011,['Accelerometer'],109.4 x 59 x 11.9,107,3.2,47.2,320 x 480,180,,1540,Mini-SIM
2014,Volt,LG,4,Android,4.4.2,"[('8', '1')]",101,"['Accelerometer', 'proximity', 'compass']",131.6 x 66 x 10.4,136.1,4.7,70.1,540 x 960,234,130,3000,Micro-SIM
2014,G Pad 10.1 LTE,LG,4,Android,5.0.2,"[('16', '1')]",111,"['Accelerometer', 'compass']",260.9 x 165.9 x 8.9,535.8,10.1,68.3,1280 x 800,149,270,8000,Micro-SIM
2014,G Pad 10.1,LG,4,Android,4.4.2,"[('16', '1')]",001,"['Accelerometer', 'compass']",260.9 x 165.9 x 8.9,523,10.1,68.3,1280 x 800,149,260,8000,
2014,G Pad 8.0,LG,4,Android,4.4.2,"[('16', '1')]",001,"['Accelerometer', 'compass']",210.8 x 124.2 x 9.9,342,8.0,70.9,800 x 1280,189,220,4200,
2014,G Pad 7.0,LG,4,Android,4.4.2,"[('8', '1')]",001,"['Accelerometer', 'compass']",189.3 x 113.8 x 10.1,293,7.0,66.0,800 x 1280,216,160,4000,
2014,L80,LG,2,Android,4.4.2,"[('8', '1')]",011,"['Accelerometer', 'proximity']",138.2 x 74.3 x 9.7,138,5.0,69.3,480 x 800,187,150,2540,Micro-SIM
2014,L80 Dual,LG,2,Android,4.4.2,"[('4', '1')]",011,"['Accelerometer', 'proximity']",138.2 x 74.3 x 9.7,-,5.0,69.3,480 x 800,187,120,2540,Mini-SIM
2014,Lucid 3 VS876,LG,4,Android,4.4.2,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",131.6 x 66 x 9.9,123.9,4.7,70.1,540 x 960,234,220,2440,Micro-SIM
2014,L65 Dual D285,LG,2,Android,4.4.2,"[('4', '1')]",011,"['Accelerometer', 'proximity']",127.2 x 66.8 x 9.6,126,4.3,61.9,480 x 800,217,150,2100,Mini-SIM
2014,G Pad 8.3 LTE,LG,4,Android,4.2.2,"[('16', '2')]",101,"['Accelerometer', 'gyro', 'compass']",216.9 x 126.5 x 8.9,339.9,8.3,72.8,1200 x 1920,273,220,4600,Micro-SIM
