year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2021,Galaxy M22,Samsung,8,Android,11,"[('64', '4'), ('128', '4'), ('128', '6')]",111,"['Fingerprint', 'unspecified sensors']",159.9 x 74 x 8.4,186,Nano-SIM,6.4,83.6,720 x 1600,274,160,5000
2021,Galaxy M32 5G,Samsung,8,Android,11,"[('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",164.2 x 76.1 x 9.1,205,Nano-SIM,6.5,81.6,720 x 1600,270,220,5000
2021,Galaxy A03s,Samsung,8,Android,11,"[('32', '2'), ('32', '3'), ('32', '4'), ('64', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity']",164.2 x 75.9 x 9.1,196,Nano-SIM,6.5,81.8,720 x 1600,270,99.49,5000
2021,Galaxy A52s 5G,Samsung,8,Android,11,"[('128', '4'), ('128', '6'), ('128', '8'), ('256', '6'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",159.9 x 75.1 x 8.4,189,Nano-SIM,6.5,84.9,1080 x 2400,405,180.00,4500
2021,Galaxy Z Fold3 5G,Samsung,8,Android,11,"[('256', '12'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",Unfolded: 158.2 x 128.1 x 6.4,271,Nano-SIM,7.6,88.8,1768 x 2208,374,499.00,4400
2021,Galaxy Z Flip3 5G,Samsung,8,Android,11,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",Unfolded: 166 x 72.2 x 6.9,183,Nano-SIM,6.7,84.7,1080 x 2640,426,328.00,3300
2021,Galaxy Watch4 Classic,Samsung,2,Android,Wear,"[('16', '1.5')]",111,"['Accelerometer', 'gyro', 'compass', 'barometer', 'heart rate', 'SpO2']",45.5 x 45.5 x 11,52,,1.4,,450 x 450,321,,361
2021,Galaxy Watch4,Samsung,2,Android,Wear,"[('16', '1.5')]",111,"['Accelerometer', 'gyro', 'compass', 'barometer', 'heart rate', 'SpO2']",44.4 x 43.3 x 9.8,30.3,,1.4,,450 x 450,321,,361
2021,Galaxy A12 (India),Samsung,8,Android,11,"[('64', '4'), ('128', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer']",164 x 75.8 x 8.9,205,Nano-SIM,6.5,82.1,720 x 1600,270,160,5000
2021,Galaxy A12 Nacho,Samsung,8,Android,11,"[('32', '3'), ('32', '4'), ('64', '4'), ('128', '4')]",111,"['Fingerprint', 'accelerometer']",164 x 75.8 x 8.9,205,Nano-SIM,6.5,82.1,720 x 1600,270,129.99,5000
2021,Galaxy M21 2021,Samsung,8,Android,11,"[('64', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",159 x 75.1 x 9,192,Nano-SIM,6.4,84.2,1080 x 2340,403,130,6000
2021,Galaxy F22,Samsung,8,Android,11,"[('64', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",160 x 74 x 9.4,203,Nano-SIM,6.4,83.5,720 x 1600,274,170,6000
2021,Galaxy M32,Samsung,8,Android,11,"[('64', '4'), ('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",159.3 x 74 x 8.4,180,Nano-SIM,6.4,83.9,1080 x 2400,411,269.00,5000
2021,Galaxy A22 5G,Samsung,8,Android,11,"[('64', '4'), ('128', '4'), ('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",167.2 x 76.4 x 9,203,Nano-SIM,6.6,82.3,1080 x 2400,399,122.00,5000
2021,Galaxy A22,Samsung,8,Android,11,"[('64', '4'), ('128', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",159.3 x 73.6 x 8.4,186,Nano-SIM,6.4,84.3,720 x 1600,274,359.00,5000
2021,Galaxy Tab A7 Lite,Samsung,8,Android,11,"[('32', '2'), ('32', '3'), ('64', '4')]",111,"['Accelerometer', 'compass']",212.5 x 124.7 x 8,366,Nano-SIM,8.7,81.1,800 x 1340,179,,5100
2021,Galaxy Tab S7 FE,Samsung,8,Android,11,"[('64', '4'), ('128', '6'), ('256', '8')]",111,"['Accelerometer', 'proximity', 'compass', 'gyro']",284.8 x 185 x 6.3,608,Nano-SIM,12.4,84.6,1600 x 2560,243,650,10090
2021,Galaxy F52 5G,Samsung,8,Android,11,"[('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",164.6 x 76.3 x 8.7,199,Nano-SIM,6.6,83.6,1080 x 2408,400,260,4500
2021,Galaxy M42 5G,Samsung,8,Android,11,"[('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",164.4 x 75.9 x 8.6,190,Nano-SIM,6.6,84.3,720 x 1600,266,220,5000
2021,Galaxy M12,Samsung,8,Android,11,"[('32', '3'), ('32', '4'), ('64', '4'), ('128', '4')]",111,"['Fingerprint', 'accelerometer']",164 x 75.9 x 9.7,212,Nano-SIM,6.5,81.9,720 x 1600,270,129.99,5000
2021,Galaxy Quantum 2,Samsung,8,Android,11,"[('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",161.9 x 73.8 x 8.1,176,Nano-SIM,6.7,90.7,1440 x 3200,524,520,4500
2021,Galaxy F12,Samsung,8,Android,11,"[('64', '4'), ('128', '4')]",111,"['Fingerprint', 'accelerometer']",164 x 75.9 x 9.7,221,Nano-SIM,6.5,81.9,720 x 1600,270,130,6000
2021,Galaxy F02s,Samsung,8,Android,10,"[('32', '3'), ('64', '4')]",111,"['Accelerometer', 'proximity']",164.2 x 75.9 x 9.1,196,Nano-SIM,6.5,81.8,720 x 1600,270,100,5000
2021,Galaxy A72,Samsung,8,Android,11,"[('128', '6'), ('128', '8'), ('256', '6'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",165 x 77.4 x 8.4,203,Nano-SIM,6.7,84.4,1080 x 2400,394,388.00,5000
2021,Galaxy A52 5G,Samsung,8,Android,11,"[('128', '6'), ('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",159.9 x 75.1 x 8.4,189,Nano-SIM,6.5,84.1,1080 x 2400,407,317.20,4500
2021,Galaxy A52,Samsung,8,Android,11,"[('128', '4'), ('128', '6'), ('128', '8'), ('256', '6'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",159.9 x 75.1 x 8.4,189,Nano-SIM,6.5,84.1,1080 x 2400,407,170.00,4500
2021,Galaxy Xcover 5,Samsung,8,Android,11,"[('64', '4')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",147.1 x 71.6 x 9.2,172,Nano-SIM,5.3,67.7,720 x 1480,311,171.50,3000
2021,Galaxy A32,Samsung,8,Android,11,"[('64', '4'), ('128', '4'), ('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass']",158.9 x 73.6 x 8.4,184,Nano-SIM,6.4,84.6,1080 x 2400,411,179.99,5000
2021,Galaxy M62,Samsung,8,Android,11,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",163.9 x 76.3 x 9.5,218,Nano-SIM,6.7,86.7,1080 x 2400,393,,7000
2021,Galaxy F62,Samsung,8,Android,11,"[('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",163.9 x 76.3 x 9.5,218,Nano-SIM,6.7,86.7,1080 x 2400,393,270,7000
2021,Galaxy M12 (India),Samsung,8,Android,11,"[('64', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer']",164 x 75.9 x 9.7,221,Nano-SIM,6.5,81.9,720 x 1600,270,130,6000
2021,Galaxy S21 Ultra 5G,Samsung,8,Android,11,"[('128', '12'), ('256', '12'), ('256', '16'), ('512', '12'), ('512', '16')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",165.1 x 75.6 x 8.9,227,Nano-SIM,6.8,89.8,1440 x 3200,515,320.00,5000
2021,Galaxy S21+ 5G,Samsung,8,Android,11,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",161.5 x 75.6 x 7.8,200,Nano-SIM,6.7,88.3,1080 x 2400,394,252.60,4800
