year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2012,Xperia E dual,Sony,1.0,Android,4.0.4,"[('4', '(2'), ('512', 'RA')]",011,"['Accelerometer', 'proximity']",113.5 x 61.8 x 11,115.7,Mini-SIM,3.5,52.0,320 x 480,165,100,1530
2012,Xperia E,Sony,1.0,Android,4.1,"[('4', '(2'), ('512', 'RA')]",011,"['Accelerometer', 'proximity']",113.5 x 61.8 x 11,115.7,Mini-SIM,3.5,52.0,320 x 480,165,80,1530
2012,Xperia T LTE,Sony,2,Android,4.0.4,"[('16', '1')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",129.4 x 67.3 x 9.4,148,Micro-SIM,4.55,65.5,720 x 1280,323,350,1850
2012,Xperia Tablet S 3G,Sony,4,Android,4.0.3,"[('16', '1'), ('32', '1'), ('64', '1')]",011,"['Accelerometer', 'gyro', 'compass']",239.8 x 174.4 x 8.8,585,Mini-SIM,9.4,61.3,800 x 1280,161,260,6000
2012,Xperia Tablet S,Sony,4,Android,4.0.3,"[('16', '1'), ('32', '1'), ('64', '1')]",001,"['Accelerometer', 'gyro', 'compass']",239.8 x 174.4 x 8.8,570,,9.4,61.3,800 x 1280,161,190,6000
2012,Xperia V,Sony,2,Android,4.0.4,"[('8', '1')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",129 x 65 x 10.7,120,Micro-SIM,4.3,60.8,720 x 1280,342,230,1750
2012,Xperia J,Sony,1.0,Android,4.0.4,"[('4', '(2'), ('512', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",124.3 x 61.2 x 9.2,124,Mini-SIM,4.0,58.0,480 x 854,245,140,1750
2012,Xperia TX,Sony,2,Android,4.0.4,"[('16', '1')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",131 x 68.6 x 8.6,127,Micro-SIM,4.55,63.5,720 x 1280,323,330,1750
2012,Xperia T,Sony,2,Android,4.0.4,"[('16', '1')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",129.4 x 67.3 x 9.4,139,Micro-SIM,4.55,65.5,720 x 1280,323,230,1850
2012,Xperia SL,Sony,2,Android,4.0.4,"[('32', '1')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",128 x 64 x 10.6,144,Micro-SIM,4.3,62.2,720 x 1280,342,240,1750
2012,Xperia tipo dual,Sony,800.0,Android,4.0.3,"[('2.9', '(2.5'), ('512', 'RA')]",011,"['Accelerometer', 'proximity']",103 x 57 x 13,99.4,Mini-SIM,3.2,51.9,320 x 480,180,90,1500
2012,Xperia tipo,Sony,800.0,Android,4.0.4,"[('2.9', '(2.5'), ('512', 'RA')]",011,"['Accelerometer', 'proximity']",103 x 57 x 13,99.4,Mini-SIM,3.2,51.9,320 x 480,180,80,1500
